center,operation,radius,n_masks,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,miou_mean,miou_std,gt_area_mean,gt_area_std,perturbed_area_mean,perturbed_area_std,area_ratio_mean,area_ratio_std
Colour2,erosion,2,871,0.9102904143024404,0.033105366767167105,0.999999999995967,1.850873102141277e-12,0.837010438341293,0.05465379853481773,0.837010438341293,0.05465379853481773,35661.66590126292,15484.288825201082,30568.587830080367,15179.38693336544,0.837010438341293,0.05465379853481773
Colour2,erosion,3,871,0.8601548719019264,0.05449596789161234,0.9999999999954355,2.3611368938294318e-12,0.7584965256209523,0.08116335638064676,0.7584965256209523,0.08116335638064676,35661.66590126292,15484.288825201082,28116.531572904707,15042.331610758976,0.7584965256209523,0.08116335638064676
Infrared1,dilation,1,276,0.9621486830999025,0.008859838315801019,0.9271983205289007,0.016393035660645604,0.9999999999963258,1.0877533974023074e-12,0.9271983205289007,0.016393035660645604,29755.010869565216,9435.014340858243,31940.985507246376,9555.11824222905,1.0788578083354978,0.019237163819253538
Infrared1,dilation,2,276,0.9255670390226299,0.01664962992930909,0.861892062041086,0.028728034488022126,0.9999999999963258,1.0877533974023074e-12,0.861892062041086,0.028728034488022126,29755.010869565216,9435.014340858243,34233.89492753623,9688.315208514816,1.1615423875961364,0.03921641856045376
Infrared1,dilation,3,276,0.892953938263274,0.02312654751830362,0.8073950010002869,0.03762088743581022,0.9999999999963258,1.0877533974023074e-12,0.8073950010002869,0.03762088743581022,29755.010869565216,9435.014340858243,36443.634057971016,9815.71696570704,1.2412751629305736,0.058695979856641836
Infrared1,erosion,1,276,0.9590094951482706,0.010444791051851723,0.9999999999959875,1.2775869616299198e-12,0.9214393137411415,0.01915155888601831,0.9214393137411415,0.01915155888601831,29755.010869565216,9435.014340858243,27577.105072463768,9318.802474837994,0.9214393137411415,0.01915155888601831
Infrared1,erosion,2,276,0.9127144883982445,0.023215103952919803,0.99999999999556,1.5527537760722032e-12,0.8402683319801144,0.038683801396517475,0.8402683319801144,0.038683801396517475,29755.010869565216,9435.014340858243,25325.25,9197.18235321148,0.8402683319801144,0.038683801396517475
Infrared1,erosion,3,276,0.8641851149642655,0.03775898220726434,0.9999999999950464,1.9462112791177786e-12,0.7627475202012383,0.057219000598977166,0.7627475202012383,0.057219000598977166,29755.010869565216,9435.014340858243,23174.583333333332,9087.659762183028,0.7627475202012383,0.057219000598977166
Infrared2,dilation,1,805,0.962934812221173,0.010369161933177704,0.928710478557729,0.019135976580696445,0.9999999999961637,1.515865396200527e-12,0.928710478557729,0.019135976580696445,29782.018633540374,11424.959532158267,31865.206211180124,11593.35247886011,1.077226763616201,0.022577055114277236
Infrared2,dilation,2,805,0.926733787348262,0.019581136549083222,0.8640836631842986,0.0336130619012051,0.9999999999961637,1.515865396200527e-12,0.8640836631842986,0.0336130619012051,29782.018633540374,11424.959532158267,34073.72049689441,11773.527940009151,1.159096749835834,0.04639984828661014
Infrared2,dilation,3,805,0.8948156881158182,0.02706584587103175,0.8107234362426786,0.04373984024136236,0.9999999999961637,1.515865396200527e-12,0.8107234362426786,0.04373984024136236,29782.018633540374,11424.959532158267,36179.40869565217,11947.319264717591,1.237189871442576,0.06927501076523669
Infrared2,erosion,1,805,0.9598626993153463,0.012272439394508668,0.9999999999958035,1.7998256061402708e-12,0.9230878904261347,0.02244103946013651,0.9230878904261347,0.02244103946013651,29782.018633540374,11424.959532158267,27706.942857142858,11259.832938280075,0.9230878904261347,0.02244103946013651
Infrared2,erosion,2,805,0.9140251545267276,0.027482753035275864,0.9999999999953376,2.216566938578737e-12,0.8428150725586928,0.04554983969035661,0.8428150725586928,0.04554983969035661,29782.018633540374,11424.959532158267,25539.4149068323,11089.72685264888,0.8428150725586928,0.04554983969035661
Infrared2,erosion,3,805,0.8665195868789686,0.04471027536471768,0.9999999999947746,2.8074399167596263e-12,0.7671215742429828,0.06718301452515602,0.7671215742429828,0.06718301452515602,29782.018633540374,11424.959532158267,23494.447204968943,10930.837796592328,0.7671215742429828,0.06718301452515602
Infrared3,dilation,1,658,0.9623177129914345,0.009357766697160088,0.9275280055637546,0.017268258666094313,0.9999999999964346,1.1053107530980098e-12,0.9275280055637546,0.017268258666094313,30595.841945288754,9346.363333817271,32834.79331306991,9462.92924358703,1.0785136727586344,0.0203741412130698
Infrared3,dilation,2,658,0.9257498744201568,0.01756891171183828,0.8622569099769312,0.030156689451371954,0.9999999999964346,1.1053107530980098e-12,0.8622569099769312,0.030156689451371954,30595.841945288754,9346.363333817271,35193.94680851064,9595.400748669426,1.1612000187368179,0.041616613689686825
Infrared3,dilation,3,658,0.8933125590161736,0.02431735675958317,0.8080575807079576,0.03927757077148163,0.9999999999964346,1.1053107530980098e-12,0.8080575807079576,0.03927757077148163,30595.841945288754,9346.363333817271,37456.234042553195,9720.38743645689,1.2405499306868746,0.06222735573602557
Infrared3,erosion,1,658,0.9591763520405866,0.011098055614031491,0.9999999999961057,1.3112070450456738e-12,0.9217715388664766,0.020292788281731085,0.9217715388664766,0.020292788281731085,30595.841945288754,9346.363333817271,28364.87841945289,9234.43908475995,0.9217715388664766,0.020292788281731085
Infrared3,erosion,2,658,0.9128014806743705,0.024818328220663523,0.9999999999956858,1.612252406798041e-12,0.8405282249293823,0.041113640165903034,0.8405282249293823,0.041113640165903034,30595.841945288754,9346.363333817271,26046.088145896658,9116.458722866339,0.8405282249293823,0.041113640165903034
Infrared3,erosion,3,658,0.8643426699281486,0.040786076381726225,0.9999999999951783,2.053959108527126e-12,0.7632828480185,0.06106621166374155,0.7632828480185,0.06106621166374155,30595.841945288754,9346.363333817271,23842.37689969605,9013.76165454454,0.7632828480185,0.06106621166374155
