center,mask_name,operation,radius,f1,precision,recall,miou,gt_area,perturbed_area,area_ratio
Colour1,Color1_000003.PNG,dilation,2,0.9195513099591395,0.851082897682297,0.9999999999964899,0.851082897682297,28490.0,33475.0,1.1749736749695507
Colour1,Color1_000003.PNG,dilation,3,0.8844941373425933,0.7929086304283407,0.9999999999964899,0.7929086304283407,28490.0,35931.0,1.2611793611749345
Colour1,Color1_000004.PNG,erosion,1,0.939821627143016,0.9999999999951472,0.8864750924852169,0.8864750924852169,23246.0,20607.0,0.8864750924852169
Colour1,Color1_000004.PNG,erosion,2,0.8696603043498511,0.9999999999944087,0.7693796782209008,0.7693796782209008,23246.0,17885.0,0.7693796782209008
Colour1,Color1_000004.PNG,erosion,3,0.7930111933437414,0.9999999999934525,0.6570162608592575,0.6570162608592575,23246.0,15273.0,0.6570162608592575
Colour1,Color1_000004.PNG,dilation,1,0.9461323500679759,0.8977715984980582,0.9999999999956981,0.8977715984980582,23246.0,25893.0,1.1138690527354647
Colour1,Color1_000004.PNG,dilation,2,0.8957823054075382,0.8112371313878511,0.9999999999956981,0.8112371313878511,23246.0,28655.0,1.232685193146207
Colour1,Color1_000004.PNG,dilation,3,0.851938674247719,0.742067292342648,0.9999999999956981,0.742067292342648,23246.0,31326.0,1.3475866815738295
Colour1,Color1_000005.PNG,erosion,1,0.9566118886961916,0.9999999999966114,0.9168323598828233,0.9168323598828233,32188.0,29511.0,0.9168323598828233
Colour1,Color1_000005.PNG,erosion,2,0.9062117215390862,0.9999999999962501,0.8285075183272383,0.8285075183272383,32188.0,26668.0,0.8285075183272383
Colour1,Color1_000005.PNG,erosion,3,0.854682558510832,0.9999999999958368,0.7462408350915054,0.7462408350915054,32188.0,24020.0,0.7462408350915054
Colour1,Color1_000005.PNG,dilation,1,0.9600763075850736,0.9232181270588751,0.9999999999968933,0.9232181270588751,32188.0,34865.0,1.0831676401109631
Colour1,Color1_000005.PNG,dilation,2,0.9206829971355317,0.8530237981638495,0.9999999999968933,0.8530237981638495,32188.0,37734.0,1.172300236109195
Colour1,Color1_000005.PNG,dilation,3,0.8866118031655733,0.7963187452047295,0.9999999999968933,0.7963187452047295,32188.0,40421.0,1.2557785510088983
Colour1,Color1_000006.PNG,erosion,1,0.943807478579249,0.9999999999950114,0.8935942584545375,0.8935942584545375,22433.0,20046.0,0.8935942584545375
Colour1,Color1_000006.PNG,erosion,2,0.8786302931465367,0.9999999999943107,0.7835331877110349,0.7835331877110349,22433.0,17577.0,0.7835331877110349
Colour1,Color1_000006.PNG,erosion,3,0.8083399252719621,0.9999999999934284,0.6783310301757307,0.6783310301757307,22433.0,15217.0,0.6783310301757307
Colour1,Color1_000006.PNG,dilation,1,0.9493239170315633,0.9035363299464172,0.9999999999955422,0.9035363299464172,22433.0,24828.0,1.1067623590197175
Colour1,Color1_000006.PNG,dilation,2,0.9014304736679043,0.8205493982924739,0.9999999999955422,0.8205493982924739,22433.0,27339.0,1.2186956715498654
Colour1,Color1_000006.PNG,dilation,3,0.8596500822302956,0.753847704816339,0.9999999999955422,0.753847704816339,22433.0,29758.0,1.3265278830235523
Colour1,Color1_000007.PNG,erosion,1,0.9507905210621255,0.999999999995658,0.906197127676938,0.906197127676938,25415.0,23031.0,0.906197127676938
Colour1,Color1_000007.PNG,erosion,2,0.8945433489123588,0.9999999999951376,0.8092071611221356,0.8092071611221356,25415.0,20566.0,0.8092071611221356
Colour1,Color1_000007.PNG,erosion,3,0.8347889388216526,0.9999999999945078,0.7164273067058177,0.7164273067058177,25415.0,18208.0,0.7164273067058177
Colour1,Color1_000007.PNG,dilation,1,0.955056129872692,0.9139784946203691,0.9999999999960653,0.9139784946203691,25415.0,27807.0,1.0941176470545184
Colour1,Color1_000007.PNG,dilation,2,0.9120923977623981,0.8383915022734103,0.9999999999960653,0.8383915022734103,25415.0,30314.0,1.192760180990782
Colour1,Color1_000007.PNG,dilation,3,0.8741937765687321,0.7765047357140956,0.9999999999960653,0.7765047357140956,25415.0,32730.0,1.2878221522672129
Colour1,Color1_000008.PNG,erosion,1,0.9568095448766042,0.9999999999963772,0.9171955474300807,0.9171955474300807,30095.0,27603.0,0.9171955474300807
Colour1,Color1_000008.PNG,erosion,2,0.9076621042468398,0.9999999999960011,0.8309353713213792,0.8309353713213792,30095.0,25007.0,0.8309353713213792
Colour1,Color1_000008.PNG,erosion,3,0.8565728993535817,0.9999999999955644,0.7491277620842361,0.7491277620842361,30095.0,22545.0,0.7491277620842361
Colour1,Color1_000008.PNG,dilation,1,0.9601518132718408,0.9233577762067825,0.9999999999966772,0.9233577762067825,30095.0,32593.0,1.0830038212291642
Colour1,Color1_000008.PNG,dilation,2,0.9214635142982315,0.8543647977264602,0.9999999999966772,0.8543647977264602,30095.0,35225.0,1.17046020933321
Colour1,Color1_000008.PNG,dilation,3,0.8872215422961944,0.797303025484032,0.9999999999966772,0.797303025484032,30095.0,37746.0,1.254228277118278
Colour1,Color1_000009.PNG,erosion,1,0.9481936280027866,0.9999999999955902,0.901490757301127,0.901490757301127,25155.0,22677.0,0.901490757301127
Colour1,Color1_000009.PNG,erosion,2,0.8888152169804655,0.99999999999503,0.7998807394124433,0.7998807394124433,25155.0,20121.0,0.7998807394124433
Colour1,Color1_000009.PNG,erosion,3,0.8254657030250718,0.9999999999943435,0.7028026237300624,0.7028026237300624,25155.0,17679.0,0.7028026237300624
Colour1,Color1_000009.PNG,dilation,1,0.9529130495844845,0.9100611410552799,0.9999999999960246,0.9100611410552799,25155.0,27641.0,1.098827270915926
Colour1,Color1_000009.PNG,dilation,2,0.9081554794989666,0.831762721949437,0.9999999999960246,0.831762721949437,25155.0,30243.0,1.2022659510983809
Colour1,Color1_000009.PNG,dilation,3,0.8688068308548208,0.7680446995579872,0.9999999999960246,0.7680446995579872,25155.0,32752.0,1.3020075531651678
Colour1,Color1_000010.PNG,erosion,1,0.9064665727818725,0.9999999999895244,0.828933657512774,0.828933657512774,11516.0,9546.0,0.828933657512774
Colour1,Color1_000010.PNG,erosion,2,0.7903996160715152,0.999999999986711,0.6534386939852949,0.6534386939852949,11516.0,7525.0,0.6534386939852949
Colour1,Color1_000010.PNG,erosion,3,0.6540439017456892,0.9999999999821301,0.48593261548727046,0.48593261548727046,11516.0,5596.0,0.48593261548727046
Colour1,Color1_000010.PNG,dilation,1,0.9209115856512484,0.8534163331787948,0.9999999999913164,0.8534163331787948,11516.0,13494.0,1.1717610281245938
Colour1,Color1_000010.PNG,dilation,2,0.8507368476466789,0.7402455486228691,0.9999999999913164,0.7402455486228691,11516.0,15557.0,1.3509030913394329
Colour1,Color1_000010.PNG,dilation,3,0.7921581636763902,0.6558460048940381,0.9999999999913164,0.6558460048940381,11516.0,17559.0,1.524748176436916
Colour1,Color1_000011.PNG,erosion,1,0.9321116954936929,0.9999999999935546,0.8728551336097167,0.8728551336097167,17775.0,15515.0,0.8728551336097167
Colour1,Color1_000011.PNG,erosion,2,0.8520407674156266,0.9999999999924202,0.7422222222180466,0.7422222222180466,17775.0,13193.0,0.7422222222180466
Colour1,Color1_000011.PNG,erosion,3,0.7628757879953963,0.9999999999908766,0.6166526019655885,0.6166526019655885,17775.0,10961.0,0.6166526019655885
Colour1,Color1_000011.PNG,dilation,1,0.9400782239211238,0.8869317898264212,0.9999999999943741,0.8869317898264212,17775.0,20041.0,1.1274824191216457
Colour1,Color1_000011.PNG,dilation,2,0.8849006326911458,0.7935622125952339,0.9999999999943741,0.7935622125952339,17775.0,22399.0,1.2601406469690006
Colour1,Color1_000011.PNG,dilation,3,0.8371993955432891,0.7199854180139339,0.9999999999943741,0.7199854180139339,17775.0,24688.0,1.3889170182762929
Colour1,Color1_000012.PNG,erosion,1,0.9321884392644311,0.9999999999937126,0.872989735985109,0.872989735985109,18219.0,15905.0,0.872989735985109
Colour1,Color1_000012.PNG,erosion,2,0.8516954004829765,0.9999999999925997,0.7416982271214573,0.7416982271214573,18219.0,13513.0,0.7416982271214573
Colour1,Color1_000012.PNG,erosion,3,0.7627584329964299,0.9999999999910968,0.6164992590119298,0.6164992590119298,18219.0,11232.0,0.6164992590119298
Colour1,Color1_000012.PNG,dilation,1,0.9400928294315608,0.8869577917292879,0.9999999999945112,0.8869577917292879,18219.0,20541.0,1.1274493660402467
Colour1,Color1_000012.PNG,dilation,2,0.8844388933562108,0.7928198433385865,0.9999999999945112,0.7928198433385865,18219.0,22980.0,1.2613205993673564
