radius,mean_uncertainty_all,mean_uncertainty_certain_positive,mean_uncertainty_uncertain_boundary,mean_uncertainty_certain_negative,pixels_certain_positive,pixels_uncertain_boundary,pixels_certain_negative
3,0.000612392439506948,0.0030315264593809843,0.02422749251127243,1.4452785762841813e-05,3151,6081,252912
3,0.0006427376065403223,0.003375257132574916,0.02072119526565075,0.00013846580986864865,1669,6160,254315
1,0.001314092194661498,0.014826365746557713,0.052619099617004395,0.000807087984867394,2828,1800,257516
1,0.0007228152244351804,0.0025690686888992786,0.05903460085391998,0.00018176910816691816,3943,2250,255951
2,0.001314092194661498,0.012034465558826923,0.03558347746729851,0.0007522872765548527,1958,3594,256592
2,0.0007228152244351804,0.0013701659627258778,0.03223034366965294,0.00015962727775331587,2847,4496,254801
3,0.001314092194661498,0.009534284472465515,0.027120882645249367,0.0007416162989102304,1203,5288,255653
3,0.0007228152244351804,0.0011893094051629305,0.022128187119960785,0.00015115620044525713,1774,6735,253635
1,0.0005787562113255262,0.006711057852953672,0.03900443762540817,0.00015696704213041812,4518,2084,255542
1,0.0006081123137846589,0.011618666350841522,0.04871724173426628,5.9846795920748264e-05,4857,1800,255487
2,0.0005787562113255262,0.006013195030391216,0.022625474259257317,0.00014317562454380095,3504,4164,254476
2,0.0006081123137846589,0.011123367585241795,0.0304346214979887,2.2256432202993892e-05,3983,3596,254565
3,0.0005787562113255262,0.005224545951932669,0.016838951036334038,0.00013227311137598008,2509,6241,253394
3,0.0006081123137846589,0.01080458052456379,0.022627191618084908,1.4596073015127331e-05,3130,5387,253627
1,0.0004371428512968123,0.0025946914684027433,0.045891743153333664,1.587821498105768e-05,5109,2120,254915
1,0.0006125903455540538,0.017100945115089417,0.041830189526081085,1.750430601532571e-05,4070,2068,256006
2,0.0004371428512968123,0.0014582605799660087,0.02501027099788189,1.0473228030605242e-05,4075,4238,253831
2,0.0006125903455540538,0.01871575601398945,0.0242010448127985,1.2699066246568691e-05,3063,4133,254948
3,0.0004371428512968123,0.0011742045171558857,0.017075687646865845,9.906008017424028e-06,3059,6354,252731
3,0.0006125903455540538,0.021378887817263603,0.018293196335434914,1.139606592914788e-05,2077,6193,253874
1,0.0005887646111659706,0.005063198506832123,0.0460762158036232,0.00012008001795038581,4560,2183,255401
1,0.0008238912560045719,0.011174405924975872,0.04307696223258972,0.00013242868590168655,8124,2132,251888
2,0.0005887646111659706,0.003593282075598836,0.026499249041080475,0.00010270746861351654,3494,4365,254285
2,0.0008238912560045719,0.006785718258470297,0.033871665596961975,9.399661212228239e-05,7085,4261,250798
3,0.0005887646111659706,0.0024668113328516483,0.01922622323036194,8.883335249265656e-05,2447,6544,253153
3,0.0008238912560045719,0.0035744826309382915,0.027032285928726196,8.709926623851061e-05,6066,6383,249695
1,0.00047343020560219884,0.004157165996730328,0.041615165770053864,7.846003427403048e-05,5700,1933,254511
1,0.0011090550106018782,0.014259492047131062,0.05092224106192589,0.0001709804346319288,8910,2372,250862
2,0.00047343020560219884,0.0030850297771394253,0.02552042156457901,4.31229782407172e-05,4762,3859,253523
2,0.0011090550106018782,0.014757276512682438,0.03260328993201256,8.748706750338897e-05,7751,4739,249654
3,0.00047343020560219884,0.0026770553085952997,0.018091117963194847,3.6435707443160936e-05,3842,5783,252519
3,0.0011090550106018782,0.015963323414325714,0.024521399289369583,4.4474400056060404e-05,6614,7100,248430
1,0.0005534176016226411,0.0023175436072051525,0.04924556985497475,7.001200719969347e-05,7722,2224,252198
1,0.0022342626471072435,0.0168203953653574,0.06563277542591095,0.0016668178141117096,3455,1507,257182
2,0.0005534176016226411,0.001959271961823106,0.026317385956645012,6.030125587130897e-05,6639,4443,251062
2,0.0022342626471072435,0.012304066680371761,0.04454933851957321,0.0016301722498610616,2729,3011,256404
3,0.0005534176016226411,0.0018083809409290552,0.018123647198081017,5.751382923335768e-05,5579,6655,249910
3,0.0022342626471072435,0.010136024095118046,0.033525221049785614,0.0016194113995879889,2022,4512,255610
1,0.0009880589786916971,0.02176443301141262,0.0741456001996994,0.0001849127875175327,3834,1728,256582
1,0.0009961944306269288,0.019779333844780922,0.04939669743180275,0.00016516407777089626,6275,1925,253944
2,0.0009880589786916971,0.018439698964357376,0.04788349196314812,0.00014998152619227767,2995,3455,255694
2,0.0009961944306269288,0.01922621577978134,0.03278931975364685,0.0001278175477636978,5342,3846,252956
